k,alpha,avg_steps,success_rate
3,0.01,163.6,1.0
3,0.016551724137931035,87.7,1.0
3,0.023103448275862068,94.9,1.0
3,0.029655172413793104,69.6,0.6
3,0.03620689655172414,75.7,1.0
3,0.04275862068965518,110.8,0.8
3,0.04931034482758621,99.6,1.0
3,0.05586206896551724,113.6,0.8
3,0.06241379310344828,115.3,1.0
3,0.06896551724137931,96.6,0.9
3,0.07551724137931035,87.2,0.9
3,0.08206896551724138,81.1,0.9
3,0.0886206896551724,119.9,1.0
3,0.09517241379310344,92.0,0.9
3,0.10172413793103448,99.8,1.0
3,0.10827586206896551,116.7,1.0
3,0.11482758620689655,81.5,0.8
3,0.12137931034482759,84.3,0.9
3,0.12793103448275864,83.7,0.9
3,0.13448275862068967,96.1,0.9
3,0.1410344827586207,131.5,1.0
3,0.14758620689655175,111.7,0.9
3,0.15413793103448278,115.0,0.9
3,0.16068965517241382,89.2,1.0
3,0.16724137931034483,105.2,0.9
3,0.17379310344827587,109.9,0.9
3,0.1803448275862069,72.7,1.0
3,0.18689655172413794,60.5,0.9
3,0.19344827586206897,165.7,0.9
3,0.2,125.1,0.8
4,0.01,177.8,0.8
4,0.016551724137931035,89.8,0.9
4,0.023103448275862068,95.9,1.0
4,0.029655172413793104,76.5,0.8
4,0.03620689655172414,105.4,0.9
4,0.04275862068965518,83.9,1.0
4,0.04931034482758621,71.7,0.9
4,0.05586206896551724,88.9,1.0
4,0.06241379310344828,97.3,1.0
4,0.06896551724137931,73.7,0.8
4,0.07551724137931035,89.0,1.0
4,0.08206896551724138,104.8,1.0
4,0.0886206896551724,103.5,0.9
4,0.09517241379310344,104.6,0.9
4,0.10172413793103448,118.4,1.0
4,0.10827586206896551,83.8,0.8
4,0.11482758620689655,149.9,0.9
4,0.12137931034482759,104.8,0.9
4,0.12793103448275864,98.7,1.0
4,0.13448275862068967,74.5,0.9
4,0.1410344827586207,89.3,0.8
4,0.14758620689655175,124.3,1.0
4,0.15413793103448278,106.3,0.9
4,0.16068965517241382,80.2,0.8
4,0.16724137931034483,104.7,0.7
4,0.17379310344827587,91.4,1.0
4,0.1803448275862069,195.8,0.8
4,0.18689655172413794,126.1,0.7
4,0.19344827586206897,136.0,1.0
4,0.2,156.4,1.0
5,0.01,151.2,0.9
5,0.016551724137931035,101.2,0.9
5,0.023103448275862068,93.3,0.9
5,0.029655172413793104,95.1,0.9
5,0.03620689655172414,94.0,0.7
5,0.04275862068965518,104.5,0.9
5,0.04931034482758621,82.7,0.8
5,0.05586206896551724,91.8,1.0
5,0.06241379310344828,96.2,0.9
5,0.06896551724137931,98.1,0.8
5,0.07551724137931035,101.3,0.9
5,0.08206896551724138,63.8,0.9
5,0.0886206896551724,99.3,0.9
5,0.09517241379310344,121.5,1.0
5,0.10172413793103448,79.5,1.0
5,0.10827586206896551,96.7,1.0
5,0.11482758620689655,66.9,1.0
5,0.12137931034482759,86.0,1.0
5,0.12793103448275864,88.3,1.0
5,0.13448275862068967,123.6,0.9
5,0.1410344827586207,84.0,0.8
5,0.14758620689655175,99.7,1.0
5,0.15413793103448278,92.9,0.8
5,0.16068965517241382,194.7,0.8
5,0.16724137931034483,105.2,1.0
5,0.17379310344827587,119.7,0.8
5,0.1803448275862069,121.8,1.0
